VSSign_group_ID	lemma
79	гонения
79	домогаться
79	преследовать
80	горение
80	огонь
80	пламя
80	пожар
81	град
82	грим
82	косметика
82	макияж
83	грязный
83	грязь
84	гроб
84	могила
84	похороны
85	группа
85	коллектив
85	общество
86	горюющий
86	грустный
86	грусть
86	печаль
86	разочарованный
86	расстроенный
86	скорбеть
87	груз
87	грузчик
87	мешок
88	губы
88	рот
88	уста
89	кошка
89	хитрый
90	желание
90	желать
90	хотеть
90	хочу
91	горевать
91	холостой
92	владыка
92	обладатель
92	хозяин
93	мужественность
93	мужественный
93	отважиться
93	подвиг
93	смелость
93	храбрый
94	высокомерный
94	надменный
94	хвастун
95	достаточно
95	хватит
96	идеал
96	лучший
97	игнорировать
97	пренебрегать
97	средний
98	игра
98	играть
98	шутка
99	инспектор
99	разведчик
100	влечение
100	искушение
101	искусный
101	искусство
101	образ
102	испарина
102	пот
103	выполнить
103	исполнять
103	полностью
103	полный
103	целый
104	испробовать
104	попробовать
104	пытаться
105	италия
105	стихи
105	стихотворение
106	вывод
106	итог
106	общий
106	объем
106	последствия
106	результат
107	выбирать
107	выбор
107	избирать
108	изменить
108	изменять
108	менять
108	покаяние
108	поменять
109	изображение
109	рисунок
110	отрава
110	радиация
110	яд
111	светлый
111	ярко
112	коробка
112	посылка
112	упаковка
112	ящик
113	зелёный
113	молодой
113	юноша
114	выходные
114	каникулы
114	отдых
115	капризный
115	нервный
116	катер
116	корабль
116	лодка
117	горький
117	кефир
118	варить
118	кипеть
118	пальцы
118	сколько
118	тушить (еда)
119	клавиши
119	печатать
120	клей
120	липкий
120	сырой
121	клеветник
121	критика
121	обвинять
122	кольцо
123	жена
123	женат
123	женатый
123	замужем
123	муж
124	колокольчик
124	перерыв
124	президент
125	конь
125	лошадь
126	конкурс
126	соревнование
126	сравнивать
127	копать
127	пахать
128	копить
128	склад
129	коза
129	корея
130	дорога
130	коридор
131	король
131	царь
132	котлета
132	пирожок
133	краб
133	креветка
133	рак
134	крем
134	румяный
135	крепко
135	решительно
135	твердый
135	твёрдо
135	укрепиться
136	кроткий
136	послушный
136	смириться
137	куда
137	суббота
138	детский
138	кукла
138	ребенок
138	ребёнок
139	шашлыки
140	держать
140	кулак
141	еда
141	есть
141	кушать
141	ланч
141	прием пищи
142	забор
142	куст
143	билет
143	квитанция
144	здание
144	лагерь
144	палатка
145	воспитывать
145	лечение
145	лечить
145	ремонт
146	легкие
146	пыль
146	туберкулёз
147	лейка
147	лить
148	ленивый
148	ленность
148	лень
148	неохота
149	лес
149	сад
150	великолепный
150	отлично
151	Лицо
151	лично
152	вождь
152	лидер
153	линолеум
153	площадь
154	литр
154	розетка
155	ложь
155	мышь
155	обман
156	ложка
156	обедать
157	мама
158	матрос
158	моряк
159	меч
159	сабля
160	затягивать
160	медлить
160	оттягивать (время)
160	продлевать
160	продление
160	тянуть время
161	мех
161	шерсть
162	меньше
162	узкий
163	ветер
163	забава
163	метель
163	развлечение
164	метро
164	подвал
165	международный
165	мировой
166	миг
166	часто
166	частый
167	мяч
167	шар
168	влажный
168	мокрый
168	мягкий
169	мнение
169	притворяться
169	способность
170	мода
170	модный
171	мойка
171	мыть
172	бабочка
172	моль
173	молоть
173	переваривание
174	забивать
174	молоток
175	волна
175	море
175	океан
176	морковь
176	скоро
177	замерзать
177	мороз
177	остыть
177	скорость
178	любопытный
178	мороженое
179	возможный
179	можно
180	дистресс
180	мучение
180	страдание
180	страдания
180	страдать
181	выставка
181	музей
182	на протяжении
183	вознаграждение
183	награда
183	сюрприз
184	зарабатывать
184	заработать
184	находить
185	Выигрыш
185	найти
185	получается
185	удача
185	успех
186	наказание
186	наказать
186	приговор
187	деньги
187	наличные
188	воспоминание
188	вспомнить
188	напоминать
188	помнить
189	казаться
189	например
189	пример
190	заставить
190	насилие
191	наставник
191	обучать
192	настольный теннис
192	теннис
193	настроение
193	строительство
193	строить
194	гений
194	интеллектуальный
194	наука
194	образование
194	образованный
194	профессор
194	учённый
195	встретить
195	встретиться
195	встреча
195	встречать
195	встречаться
195	навстречу
196	назначать
196	печать
196	утверждать
197	название
197	назвать
197	цитата
198	не хватает
198	недостаток
199	иногда
200	неловко
200	смущаться
200	стыд
200	стыдно
201	не
201	нет (в наличии)
202	грубый
202	две недели
202	невежество
203	нежность
203	нежный
204	нигде
204	ничего
205	младший
205	ниже
205	нижний
205	низкий
206	нравится
206	нравиться
207	необходимость
207	необходимый
207	нужда
207	нуждаться
207	нужно
208	обещание
208	обещать
209	Обладать
209	есть
209	иметь
210	ободрять
210	побуждать
211	возвращать
211	возвращаться
211	возвращение
211	обратно
212	обслуживать
212	угощать
213	обувь
213	туфли
214	заявление
214	очистить
215	одинаково
215	подходить
215	похожий
215	тоже
216	взаймы
216	взять
216	забирать
216	одолжить
217	Забрать
217	ограбить
218	больше
218	большой
218	огромный
218	широкий
219	ночной
219	ночь
219	омрачение
219	темнота
220	опасно
220	преступление
221	оправдание
222	организованно
222	порядок
223	осел
223	осёл
224	особенный
224	особый
224	странный
225	остановить
225	остановиться
225	остановка
226	освобождение
226	позволить
226	разрешать
226	разрешение
226	свобода
226	свободно
226	свободный
227	отправлять
227	посылать
228	отвёртка
228	умножить
229	ответ
229	ответить
229	сказать
230	отвлекаться
230	отворачиваться
231	отец
231	папа
232	пауза
232	стоп
232	тормоз
233	селезёнка
234	печень
235	копия
235	пенсионер
235	пенсия
236	перевод
236	переводить
236	переводчик
237	волноваться
237	неприятный
237	отчаяться
237	переживание
237	подавленный
237	расстройство
238	письмо
238	почта
239	готовый
239	подготовка
240	веник
240	подметать
241	покойник
241	труп
242	Витамин
242	полезно
242	польза
243	пол
243	степь
244	помогать
245	поражение
245	проиграть
246	порвать
246	рвать
247	вслед
247	последовать
247	следовать
248	кнопка
248	поступать
248	присутствовать
248	участвовать
248	участие
249	посуда
249	тарелка
250	счастливый
250	счастье
251	пожалуйста
251	признательность
252	пожалуйста (прошу)
252	просить
252	просьба
253	вызов
253	позвать
254	гнев
254	праздник
255	предлагать
255	предложить
255	приглашение
256	велит
256	приказ
257	вовлечь
257	приманка
258	воздух
258	погода
258	природа
258	судьба
259	привезти
259	проводить
259	провожать
259	сопровождать
260	привык
260	привычка
261	прятать
261	скрывать
261	спрятать
262	продавать
262	продать
263	просто
263	простой
263	скромный
264	протестовать
264	противоположный
264	противоречие
264	сопротивление
265	верёвка
265	провод
266	пусто
266	пустой
267	изучить
267	прозрачный
267	расходы
267	сквозь
267	тратить
268	безразличие
268	равнодушный
268	тряпка
269	разделять
269	распределять
270	развиваться
270	размножить
270	увеличиваться
271	ресторан
271	решать
272	ряд
272	скамейка
273	застенчивый
273	родинка
273	совесть
274	редкий
274	редко
274	родители
275	жалоба
275	жаловаться
275	ропот
276	воротник
276	рубашка
277	осторожный
277	руководитель
277	управление
278	винтовка
278	ружьё
279	рыбалка
279	удочка
280	салют
280	цветы
281	секрет
281	тайна
282	агрессивный
282	агрессия
282	зло
282	злобный
282	злой
282	злость
282	сердитый
283	вышивать
283	шить
284	тюль
284	шторы
285	налог
285	штраф
286	течение
286	швея
287	миленький
287	милый
287	симпатичный
288	скучать
288	скучный
289	вдруг
289	случай
289	случайно
289	событие
290	слух
290	слышать
291	Смех
291	смешной
291	смеяться
292	вместо
292	замена
292	обмен
292	смена
293	мертвый
293	смерть
294	помесь
294	смешать
295	жалко
295	жалость
295	милосердный
295	сожаление
295	сожалеть
295	сочуствие
296	согласен
296	согласно
297	в спешке
297	спешить
298	кротость
298	спокойный
298	спокойствие
299	спрашивать
299	спросить
300	стена
300	стенка
301	бумага
301	стирать
302	засуха
302	сухой
303	вирус
303	зависеть
303	зараза
303	связь
304	весна
304	таять
305	внешность
305	тело
306	тяжело
306	тяжёлый
307	тщательно
307	усердно
308	цвет
308	цвета
308	цветной
309	тушить (пожар)
309	успокаивать
310	переполненный
310	тесный
311	ученик
311	учиться
312	удивиться
312	удивление
312	удивлён
313	доволен
313	довольно
313	довольный
313	довольство
313	приятный
313	удовольствие
314	мочь
314	успеть
315	безумно
315	однажды
315	уставать
315	устать
316	вечность
316	вечный
316	уступать
317	испуганный
317	ужасно
318	вас
318	ваш
318	вы
319	вера
319	верить
319	доверие
319	доверять
319	уверен
319	уверенность
319	уверенный
320	верх
320	поверхностный
321	вес
321	весы
321	масса
322	видение
322	воображение
323	вина
323	виноват
324	вкусно
324	вкусный
324	удобный
325	вмешиваться
325	проныра
326	воняет
326	мусор
327	воровать
327	кража
328	возвышать
328	выше
329	вред
329	вредный
329	испытывать
330	временно
330	временный
331	цена
332	вверх
332	высота
332	наверху
333	выделить
333	отдельный
333	часть
334	запоздалый
335	выпить
335	пить
336	ждать
336	зачем
336	ожидание
336	ожидать
337	закат
337	запад
338	занят
338	занятие
338	занятый
338	резервирование
339	восток
339	заря
340	жара
340	жаркий
341	желе
341	жидкий
342	боль
342	жестокость
343	жизнь
343	жить
344	гриб
344	зонтик
345	мы
345	нам
345	нас
346	там
346	те
346	тебе
346	тебя
346	ты
346	это
347	значит
347	значить
348	оставаться
348	оставить
348	остаться
349	начало
349	начать
349	начинать
349	сначала
350	вниз
350	внизу
350	писать
351	возрадоваться
351	рад
351	радостный
351	радость
352	беспокоиться
352	беспокойный
352	беспокойство
352	обеспокоен
352	обеспокоенный
352	суматоха
353	идти
353	ходить
354	эти
354	этот
355	еще нет
355	ранний
355	рано
356	быстрый
356	немедленно
357	извиняться
357	продолжительность
357	продолжить
357	прощать
358	терять
358	уже
358	уронить
359	меня
359	мне
359	я
360	лежать
360	лечь
361	затем
361	после
361	потом
362	шестой
362	шесть
363	короткий
363	краткий
363	ограничение
364	без
364	кроме
365	заранее
365	предыдущий
366	ноль
366	оранжевый
367	плакать
367	разрыдаться
367	рыдать
368	или
368	иначе
369	наконец
369	наконец-то
370	сумка
370	чемодан
371	правша
371	рука
371	сторона
372	вероятно
372	сердце
373	около
373	перед
374	десятый
374	десять
375	важный
376	видеть
376	смотреть
376	увидеть
377	выгода
377	использовать
377	пользоваться
378	их
379	голова
379	одаренный
379	способ
379	талант
380	в настоящее время
380	сегодня
380	сейчас
381	всегда
381	единственный
382	другой
382	различный
383	ошибка
384	желтый
384	жёлтый
385	верный
385	добропорядочность
386	доброта
386	добрый
386	молодец
387	гордость
387	гордый
387	лучше
388	интересно
388	интересный
389	любимый
389	любить
389	любовный
389	любовь
390	мотивация
390	мотивировать
391	напуганный
391	страх
391	страшный
391	ужас
392	не выносить
392	ненавидеть
393	обнимать
393	объятие
394	взаимоотношения
394	общаться
394	отношение
395	расслабиться
395	расслабление
396	овца
396	разгневанный
397	слабость
397	слабый
398	сомневаться
398	сомнение
399	терпение
399	терпеть
400	вдохновение
400	вдохновлять
400	возбуждение
400	возбужденный
400	восхищаться
401	веселиться
401	веселый
401	весёлый
402	аллергия на еду
402	весенняя
403	влюбиться
403	влюбленный
404	жажда
404	жаждущий
405	банкет
405	пир
406	глотать
406	съесть
407	бык
407	вол
408	динозавр
408	жираф
409	заяц
409	кролик
410	аниматор
410	медведь
411	животное
411	обезьяна
412	зверь
412	тигр
413	аккуратный
413	приличный
414	обычно
414	обычный
415	канун
415	недавний
416	назначенное время
416	по часам
417	современный
418	откладывать
418	отложенный
418	отложить
419	семнадцать
420	восемнадцать
421	один
421	палец
422	вчера
423	четыре
424	никогда
425	воскресенье
426	год
427	новый
427	свежий
427	снова
428	месяц
429	осень
430	вторник
431	двадцать
432	зима
433	еще
434	время
435	неделя
436	три
437	вечер
438	пятьдесят
439	прирученный
440	семьдесят
441	минута
442	восемьдесят
443	одинокий
444	черный
445	белый
446	вино
446	красный
446	кровь
447	синий
448	пятница
449	четырнадцать
450	сильный
451	девятнадцать
452	пять
453	лето
454	понедельник
455	сто
456	восемь
457	активный
458	завтра
459	И
460	В
461	К
462	серый
463	надеяться
464	тридцать
465	голод
465	голодный
466	два
467	тысяча
468	одиннадцать
469	девяносто
470	У
471	О
472	красивый
472	красота
473	включатель, выключатель
473	выключатель
474	история
475	охотник
476	ботинки
477	уволиться
478	неправильно
479	жребий
480	огород
481	росток
482	сандалии
483	мандарин
484	рельсы
485	пастух
486	фараон
487	блудница
488	бендеры
489	горизонт
490	отпуск
491	равенство
492	велосипед
493	мультфильм
494	вертолёт
495	свидетель
496	кровать
497	швейцария
498	посещать
499	фирма
500	картофель
501	обои
502	призывать
503	мускулы
504	глубоко
505	нло
506	сам
507	паспорт
508	лестница
509	гимн
510	коса из волос
511	укрытие
512	яблоко
513	таблетки
514	превратить
515	власть
516	холм
517	Чужой
518	болт
519	рубанок
520	плинтус
521	дерево
522	армения
523	снег
524	горчичники
525	отказ
526	дезодорант
527	поздравлять
528	ещё
529	оружие
530	живот
531	Подробно
532	Память
533	расстрел
534	сетка
535	баран
536	небо
537	метр
538	избивать
539	проснуться
540	пельмени
541	нагрузка
542	ровный
543	возле
543	рядом
543	сосед
543	соседи
544	фотоаппарат
545	двигать
546	луч
547	плеть
548	фотография
549	раздеваться
550	рождения день
551	Золото
551	золотой
552	шаг
553	захватить
554	уборка
555	мотор
556	раскаиваться
557	домино
558	платье
559	грабить
560	огурец
561	сито
562	допрос
563	пуговицы
564	кремль
565	здравствуйте
566	бородавка
567	этаж
568	шестьсот
569	греция
570	сосиски
571	бить
572	рвота
573	гаечный ключ
574	флаг
575	объясни мне
576	ухо
577	жилетка
578	лед
579	арбуз
580	дежурный
581	голубой
582	пропускать
583	браслет
584	выбросить
585	ловить
586	центр
587	Лопата
588	риск
589	ухаживать
590	трактор
591	молдова
592	консервы
593	слепой
594	польша
595	шея
596	маска
597	любой
598	влиять
599	истощение
600	напоказ
601	шалаш
602	полка
603	эгоизм
604	сметана
605	мост
606	район
607	телескоп
608	цыган
609	ликер
610	стрижка
611	массаж
612	председатель
613	понос
614	сентябрь
615	юбка
616	троллейбус
617	равно
618	разбудить
619	приоритет
620	прокуратура
621	блуд
622	трусы
623	кучерявый
624	выпуск
624	продукт
624	производить
625	набирать
626	бизнес
627	зной
628	орбита
629	ТВ
629	телевизор
630	святой
631	процент
632	фамилия
633	служить
634	молчать
635	ногти
636	электричество
637	капкан
638	издеваться
639	барабан
640	зубная щётка
641	значок
642	дверь
643	поле
644	соединять
645	микроскоп
646	грипп
647	комбайн
648	бадминтон
649	просматривать
650	сигарета
651	хвост
652	прямо
653	мыло
654	дворец
655	заколка
656	футболка
657	стул
658	спирт
659	друг друга
660	инструмент
661	вагон
662	пещера
663	переехать
664	взлёт
665	подсказывать
666	вор
667	беременность
668	столица
669	альбом
670	шапка
671	танк
672	крупа
673	повеситься
674	действительно
675	напрасно
676	депрессия
677	ящерица
678	крыша
679	губная помада
680	традиция
681	муравьи
682	колготки
683	поясница
684	задача
685	тонкий
686	тётя
687	нож
688	волейбол
689	рукавицы
690	свадьба
691	калькулятор
692	литва
693	телефон
694	сплетни
695	не очень
696	облако
697	древний
698	индия
699	лото
700	отвергать
701	физика
702	автобус
703	враг
704	трава
705	догнать
706	поднимать
707	худой
708	платный
709	бракованный
710	вена
711	проверка
712	враждовать
713	мазь
714	виза
715	костыли
716	Даже
717	смирение
718	пипетка
719	вот
720	потерять
721	асфальт
722	пугать
723	телега
724	парламент
725	планета
726	бюстгальтер
727	гостиница
728	освоить
729	выход
730	мочалка
731	финляндия
732	кипяток
733	парикмахерская
734	туалет
735	шашки
736	укол
737	сажать
738	тренировка
739	распространен
740	Плохо
741	продажа
741	торговать
741	торговля
742	одеколон
743	одеяло
744	откуда
745	марка
746	аборт
747	шахматы
748	жатва
749	приезжать
750	красить
751	брак
752	аэродром
753	мораль
754	повесить
755	хулиган
756	наркотик
757	пистолет
758	сканер
759	кризис
760	ударение
761	колесо
762	рубить
763	столяр
764	стадион
765	валюта
766	выздоравливать
766	здоровый
766	здоровье
767	Свисток
768	хуже
769	резинка
770	парк
771	чеснок
772	вилы
773	дискотека
773	танцевать
774	перчатки
775	горб
776	листья
777	чечня
778	баян
779	позавчера
780	война
781	сыпь
782	брови
783	шляпа мужская
784	отмечать
785	Выручить
785	спасать
786	свой
787	тёрка
788	разрушить
789	баранки
790	карта
790	картинка
790	квадрат
791	бодрствовать
792	крючок
793	тирасполь
794	документ
795	столовая
796	горчица
797	инсульт
798	ловушка
799	Жарить
800	идея
800	придумать
801	лишиться
802	коса
803	вдох
804	одевать
805	ветка
806	порез
807	разнообразие
808	баскетбол
809	латвия
810	труд
811	испытание
812	раковина
813	директор
814	загорать
815	конец
815	конечный
815	окончание
816	будить
817	разъединять
818	врач
818	доктор
819	одесса
820	гайка
821	неизвестно
822	казахстан
823	скульптор
824	волос
825	сосулька
826	отнять
827	текст
828	пульс
829	брошь
830	сосать
831	дыра
832	посольство
833	жест
833	жесты
834	намёк
835	наперсток
836	щель
837	париться
838	взгляд
839	спутник
840	пиджак
841	лепить
842	навестить
843	сутки
844	циркуль
845	чертить
846	вместе
847	гусь
848	орех
849	механизм
850	Цемент
851	занавеска
852	выгонять
853	разбить
854	изба
855	право
856	ствол
857	радуга
858	окно
859	клещи
860	масло (растительное)
861	оскорблять
862	динамики
863	щетина
864	оверлок
865	гарантия
866	дания
867	крепость
868	непонятно
869	тихо
869	тишина
870	фехтование
871	аплодисменты
872	университет
873	себе
874	копченный
875	дразнить
876	папка
877	угол
878	желудок
879	самолет
880	вперёд
881	олимпиада
882	свеча
883	бокс
884	пила
885	область
886	франция
887	опоздать
888	медаль
889	узи
890	душ
891	доллар
892	слуга
893	верно
894	авария
895	бедный
896	бабочка эстрадная
897	смысл
898	Футбол
899	ругать
900	оптика
901	слуховой аппарат
902	лысый
903	умываться
904	компас
905	бублик
906	вата
907	ширина
908	бинокль
909	музыка
910	доказательство
911	прости
912	дядя
913	родиться
913	рожать
914	туман
915	веер
916	мастер
917	тюрьма
918	лук (овощ)
919	Сразу
920	размер
921	разлука
922	батарея
923	плавки
924	болтливый
925	пупок
926	отличаться
927	зажигалка
928	рукав
929	оптом
930	чай
931	офицер
932	обрыв
933	восстановить
934	лезвие
935	гибель
936	крик
936	кричать
937	радио
938	кузнечик
939	задерживать
939	задерживаться
940	молоко
941	корзина
942	рюкзак
943	голландия
944	голый
945	журнал
946	арест
947	яйцо
948	фары
949	бросить
950	мир (земля)
951	змей
952	угнетать
953	обида
954	хромой
955	педаль
956	убить
957	балет
958	послезавтра
959	потолок
960	рулетка линейка
961	гора
962	пускай
963	развод
964	опухоль
965	заботиться
965	обеспечить
966	киргизия
967	ель
968	активно
969	налево
970	мексика
971	возраст
972	наушники
973	кожа
974	банан
975	число
976	плавание
977	рояль
978	избегать
979	абсурд
980	зависимость
981	бронхит
982	мимо
983	записано
983	регистрация
984	запас
985	кишечник
986	моча
987	защита
988	форточка
989	мотоцикл
990	грабли
991	растеряный
992	стойкий
993	насморк
994	кенгуру
995	сеять
996	паралич
997	запрет
997	запрещать
997	угроза
998	ангина
999	спорить
1000	секунда
1001	сговор
1002	санки
1003	слезы
1004	плечи
1005	ожерелье
1006	грудь
1007	горох
1008	осваивать
1009	мощный
1010	нарыв
1011	заказ
1012	вытирать
1013	профессионал
1014	внутри
1014	изнутри
1015	открытка
1016	корень
1017	объявление
1018	дождь
1019	правило
1020	менструация
1021	портфель
1022	удар
1023	лупа
1024	вокруг
1025	кепка
1026	ливень
1026	осадки
1027	щётка
1028	кальмар
1029	небрежность
1030	не нужно
1031	храпеть
1032	багажник
1033	шампанское
1034	вьетнам
1035	капуста
1036	круг
1036	круглый
1037	флейта
1038	грядки
1039	доить
1040	размер (обувь)
1041	взятка
1042	фен
1043	коньки
1044	блины
1045	впитывать
1046	хвалить
1047	измерить
1048	подражать
1049	светофор
1050	камень
1051	жулик
1052	ссора
1053	день рождения
1054	капюшон
1055	япония
1056	абзац
1057	обыск
1058	дружба
1058	союз
1059	стрелять
1060	план
1061	мешать
1061	препятствие
1062	поцелуй
1063	грузия
1064	объяснять
1065	мошенник
1066	бесплатно
1066	бесплатный
1067	специальность
1068	песок
1069	перекрёсток
1070	победа
1071	усы
1072	юрист
1073	делить
1074	плитка
1075	ножницы
1076	Почки
1077	вермишель
1078	карман
1079	Борода
1080	кость
1081	спички
1082	микрофон
1083	индюк
1084	нищета
1085	достоверный
1086	бабушка
1087	река
1088	ладно
1089	горячий
1090	треугольник
1091	плита (бетонная)
1092	варенье
1093	платок
1094	скрипка
1095	избавление
1096	дрель
1097	магнитофон
1098	испания
1099	сапоги
1100	многие
1101	болгария
1102	маникюр
1103	толстый
1104	касса
1104	клавиатура
1104	компьютер
1105	обжора
1106	заголовок
1107	узбекистан
1108	крышка
1109	няня
1110	биография
1111	предупреждать
1112	прямоугольник
1113	оплёван
1114	непослушание
1115	литература
1116	линейка
1117	неожиданно
1118	готовить
1118	кухня
1119	напильник
1120	утка
1121	шкура
1122	топор
1123	Москва
1123	москва
1123	московский
1124	гол
1125	дефицит
1126	подпись
1127	открыть глаза
1128	суставы
1129	ворота
1130	Рубль
1131	плюс
1131	сложение
1132	штанга
1133	буксир
1134	выжимать
1135	шлагбаум
1136	какой
1137	куртка
1138	саксофон
1139	садиться
1139	сесть
1139	сидеть
1140	зеркало
1141	искренность
1142	спина
1143	аргентина
1144	мебель
1145	включить
1146	горло
1147	бухгалтер
1148	болото
1149	стол
1150	лохматый
1151	анализ
1152	резать
1153	милиция
1154	бесполезный
1155	грызть
1156	раз
1157	шампунь
1158	раздражение
1159	обрезание
1160	миксер
1161	скакать
1162	канада
1163	азербайджан
1164	уровень
1165	зарплата
1166	внутренность
1167	египет
1168	одно и то же
1169	целоваться
1170	клетка (тела)
1171	жир
1172	овраг
1173	кал
1174	вязать
1175	клумба
1176	избалованный
1177	яхта
1178	кличка
1179	норвегия
1180	будет
1181	вырвать
1182	майка
1183	пуля
1184	Раб
1185	удалить
1186	ремень
1187	капля
1188	кастрюля
1189	выключить
1190	клоун
1191	кирпич
1192	пирамида
1193	советовать
1194	Соль
1195	обратиться
1196	лекарство
1197	Корона
1198	галстук
1199	серёжки
1200	копировать
1201	аудитория
1202	железо
1202	металл
1203	извинение
1204	Пылесос
1205	индеец
1206	вдоволь
1207	винт
1208	остров
1209	швейная машина
1210	отступать
1211	практика
1212	подушка
1213	соответствующий
1214	одноклассник
1215	мечтать
1215	мысль
1215	сон
1216	курить
1217	январь
1218	проволка
1219	черепаха
1220	трамвай
1221	близнецы
1222	великан
1223	исчезнуть
1224	мамонт
1225	кладбище
1226	лейкопластырь
1227	загон
1228	поддержка
1229	щедрый
1230	дракон
1231	поезд
1232	месть
1233	сирота
1234	веснушки
1235	канализация
1236	премия
1237	телеграмма
1238	рвение
1239	большинство
1240	ревность
1241	общение
1242	сытый
1243	ничей
1244	пшеница
1245	скромность
1246	скелет
1247	усыновить
1248	кошелёк
1249	зря
1250	стоимость
1251	ядерное оружие
1252	кипятильник
1253	флешка
1254	краснеть
1255	не способен
1256	речь
1257	ежедневно
1258	молитва
1259	ягненок
1260	хорошо (согласен)
1260	цветок
1261	познавать
1262	любитель
1263	обед
1264	живой
1265	попрежнему
1266	страус
1267	потребность
1267	требование
1268	щадить
1269	шоколад
1270	баня
1271	комедия
1272	настройка
1273	квартал
1274	уговаривать
1275	лодырь
1276	характер
1277	министр
1278	предать
1279	совет
1280	подшипник
1281	глупый
1282	навсегда
1283	Ё
1284	А
1285	Р
1286	Е
1287	Ч
1288	Л
1289	С
1290	Й
1291	З
1292	Ь
1293	Я
1294	Б
1295	Щ
1296	Ы
1297	Д
1298	Ф
1299	Т
1300	Ъ
1301	М
1302	П
1303	Х
1304	Э
1305	Н
1306	Ю
1307	Ш
1308	Ж
1309	Г
1310	козел
1311	бегемот
1312	лиса
1313	крокодил
1314	дикое животное
1315	попугай
1316	волк
1317	белка
1318	аллигатор
1319	населять
1320	верблюд
1321	клюв
1322	собака
1323	паук
1324	носорог
1325	лев
1326	миграция
1327	зубы
1328	коготь
1329	рыба
1330	пчела
1331	гавканье
1332	зоопарк
1332	сказка
1333	акула
1334	панда
1335	крыса
1336	олень
1337	делать выводы
1338	слон
1339	дельфин
1340	вилять
1341	собачий домик
1342	курица
1343	медуза
1344	клетка
1345	свинья
1346	лягушка
1347	корм для домашних животных
1348	соты
1349	крыло
1349	летать
1350	ползанье
1351	летучая мышь
1352	дятел
1353	гнездо
1354	рога
1355	петух
1356	пингвин
1357	вой
1358	ежик
1359	птица
1360	водоплавающее
1361	паучья сеть
1362	орел
1363	рычание
1364	лось
1365	змея
1366	комар
1367	павлин
1368	лебедь
1369	рычать
1370	клевать
1371	перо
1372	плавник
1373	домашнее животное
1374	копыто
1375	невиновный
1376	получающий удовольствие
1377	недобрый
1378	прагматичный
1379	рассеянный
1380	логичный
1381	острый
1382	отличный
1383	потрясающий
1384	неловкий
1385	истерик
1386	объективный
1386	правда
1386	правильный
1387	жёсткий
1388	неудобно
1389	глупый
1390	непослушный
1391	отрицательный
1392	недовольный
1393	запасливый
1394	личные качества
1395	опытный
1396	строгий
1397	причинять резкую боль
1398	наглость
1399	предусмотрительный
1400	остроумие
1401	жадность
